gene_name,array,ns,sweden,tcga
1-Dec,0,0,1,0
1-Mar,0,0,2,0
10-Mar,0,0,2,0
11-Mar,0,0,1,0
2-Mar,0,0,4,0
3-Mar,0,0,3,0
4-Mar,0,0,1,0
5-Mar,0,0,2,0
6-Mar,0,0,1,0
7-Mar,0,0,1,0
7A5,0,0,1,0
8-Mar,0,0,5,0
9-Mar,0,0,1,0
A1BG,0,0,2,1
A1BG_AS1,0,0,0,1
A1CF,0,0,3,1
A26C3,1,0,3,0
A2BP1,2,0,4,0
A2LD1,0,0,1,0
A2M,1,0,1,1
A2M_AS1,0,0,0,1
A2ML1,0,0,1,1
A2ML1_AS1,0,0,0,1
A2ML1_AS2,0,0,0,1
A2MP1,0,0,0,1
A3GALT2,0,0,2,1
A4GALT,1,0,1,1
A4GNT,0,0,1,1
AA06,0,0,0,1
AAA1,0,0,5,0
AAAS,1,0,1,1
AACS,1,0,1,1
AACSL,0,0,1,0
AACSP1,0,0,0,1
AADAC,1,0,1,1
AADACL1,2,0,2,0
AADACL2,0,0,1,1
AADACL2_AS1,0,0,0,1
AADACL3,0,0,1,1
AADACL4,0,0,1,1
AADACP1,0,0,0,1
AADAT,2,0,4,1
AAED1,0,0,0,1
AAGAB,0,0,1,1
AAK1,1,0,3,1
AAMDC,0,0,0,1
AAMP,1,0,1,1
AANAT,0,0,1,1
AAR2,0,0,0,1
AARD,0,0,0,1
AARS,1,0,1,1
AARS2,1,0,1,1
AARSD1,1,0,1,1
AARSP1,0,0,0,1
AASDH,1,0,1,1
AASDHPPT,2,0,2,1
AASS,2,0,2,1
AATBC,0,0,0,1
AATF,1,0,1,1
AATK,1,0,3,1
AATK_AS1,0,0,0,1
AB015752_1,0,0,0,1
ABALON,0,0,0,1
ABAT,1,0,3,1
ABBA01006766_1,0,0,0,1
ABBA01006766_2,0,0,0,1
ABCA1,1,0,1,1
ABCA10,2,0,2,1
ABCA11,1,0,1,0
ABCA11P,0,0,0,1
ABCA12,1,0,2,1
ABCA13,1,0,1,1
ABCA17P,0,0,0,1
ABCA2,1,0,2,1
ABCA3,1,0,1,1
ABCA4,1,0,1,1
ABCA5,3,0,3,1
ABCA6,2,0,2,1
ABCA7,1,0,3,1
ABCA8,2,1,2,1
ABCA9,2,0,2,1
ABCA9_AS1,0,0,0,1
ABCB1,2,0,2,1
ABCB10,1,0,1,1
ABCB10P1,0,0,0,1
ABCB10P3,0,0,0,1
ABCB10P4,0,0,0,1
ABCB11,0,0,1,1
ABCB4,1,0,1,1
ABCB5,1,0,1,1
ABCB6,1,0,1,1
ABCB7,1,0,1,1
ABCB8,1,0,1,1
ABCB9,2,0,3,1
ABCC1,1,0,2,1
ABCC10,1,0,1,1
ABCC11,3,0,3,1
ABCC12,1,0,1,1
ABCC13,1,0,3,1
ABCC2,1,0,1,1
ABCC3,1,0,2,1
ABCC4,2,0,2,1
ABCC5,2,0,3,1
ABCC5_AS1,0,0,0,1
ABCC6,0,0,6,1
ABCC6P1,0,0,1,1
ABCC6P2,0,0,1,1
ABCC8,1,0,1,1
ABCC9,3,0,3,1
ABCD1,1,0,1,1
ABCD1P2,0,0,0,1
ABCD1P3,0,0,0,1
ABCD1P4,0,0,0,1
ABCD1P5,0,0,0,1
ABCD2,0,0,2,1
ABCD3,1,0,1,1
ABCD4,1,0,4,1
ABCE1,2,0,2,1
ABCF1,2,0,2,1
ABCF2,3,0,3,1
ABCF2P1,0,0,0,1
ABCF2P2,0,0,0,1
ABCF3,1,0,1,1
ABCG1,3,0,6,1
ABCG2,1,0,1,1
ABCG4,1,0,1,1
ABCG5,1,0,1,1
ABCG8,0,0,1,1
ABHD1,1,0,1,1
ABHD10,1,0,1,1
ABHD11,2,0,3,1
ABHD11_AS1,0,0,0,1
ABHD12,3,0,3,1
ABHD12B,3,0,3,1
ABHD13,0,0,2,1
ABHD14A,1,0,1,1
ABHD14A_ACY1,0,0,0,1
ABHD14B,1,0,1,1
ABHD15,1,0,1,1
ABHD15_AS1,0,0,0,1
ABHD16A,0,0,0,1
ABHD16B,0,0,0,1
ABHD17A,0,0,0,1
ABHD17AP1,0,0,0,1
ABHD17AP3,0,0,0,1
ABHD17AP4,0,0,0,1
ABHD17AP5,0,0,0,1
ABHD17AP6,0,0,0,1
ABHD17AP7,0,0,0,1
ABHD17AP8,0,0,0,1
ABHD17AP9,0,0,0,1
ABHD17B,0,0,0,1
ABHD17C,0,0,0,1
ABHD18,0,0,0,1
ABHD2,2,0,3,1
ABHD3,1,0,1,1
ABHD4,1,0,1,1
ABHD5,1,0,1,1
ABHD6,1,0,1,1
ABHD7,1,0,1,0
ABHD8,1,0,1,1
ABHD9,1,0,1,0
ABI1,1,0,2,1
